shoe_name,original_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5,0,1,2,3,4
Columbia Women Grey PEAKFREAK II OUTDRY (Complete Waterproof),"9,999",,https://columbiasportswear.co.in/columbia-women-blue-peakfreak-ii-outdry-bl5953-471,Women,22.0,5.0,BL5953-036,,,,,5.0,4.0,columbia,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black Peakfreak II Outdry (Complete Waterproof),"9,999",,https://columbiasportswear.co.in/columbia-women-blue-peakfreak-ii-outdry-bl5953-471,Women,22.0,5.0,BL5953-005,,,,,5.0,4.0,columbia,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Blue Peakfreak II Outdry (Complete Waterproof),"8,999","9,999",https://columbiasportswear.co.in/columbia-women-blue-peakfreak-ii-outdry-bl5953-471,Women,22.0,5.0,BL5953-471,,,,,5.0,4.0,columbia,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",,,,,,
Columbia Women Black RE-PEAK MID,"9,999",,https://columbiasportswear.co.in/columbia-women-purple-re-peak-mid-bl6940-553,Women,0.0,0.0,BL6940-005,,,,,5.0,2.0,columbia,"Kettle, Light Sand","Shale Mauve, Dark Grey",,,,,,,,
Columbia Women Purple RE-PEAK MID,"9,999",,https://columbiasportswear.co.in/columbia-women-purple-re-peak-mid-bl6940-553,Women,0.0,0.0,BL6940-553,,,,,5.0,2.0,columbia,"Kettle, Light Sand","Shale Mauve, Dark Grey",,,,,,,,
Columbia Women Black TRAILSTORM MID Water Resistant Shoes,"8,999","9,999",https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,Women,38.0,4.0,BL0155-012,,,,,8.0,3.0,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Grey TRAILSTORM MID Water Resistant Shoes,"6,999","9,999",https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,Women,38.0,4.0,BL0155-053,,,,,5.0,3.0,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Red TRAILSTORM MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,Women,38.0,4.0,BL0155-616,,,,,5.0,3.0,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Black Crestwood Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/columbia-women-brown-crestwood-waterproof-bl5372-275,Women,0.0,0.0,BL5372-006,,,,,5.0,2.0,columbia,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Brown Crestwood Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/columbia-women-brown-crestwood-waterproof-bl5372-275,Women,0.0,0.0,BL5372-275,,,,,5.0,2.0,columbia,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Black HATANA MAX OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-women-brown-hatana-max-outdry-bl0659-271,Women,39.0,4.0,BL0659-012,,,,,5.0,4.0,columbia,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Grey HATANA MAX OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-women-brown-hatana-max-outdry-bl0659-271,Women,29.0,4.0,BL0659-089,,,,,5.0,4.0,columbia,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Black Hatana Max Outdry (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-women-brown-hatana-max-outdry-bl0659-271,Women,29.0,4.0,BL0659-010,,,,,5.0,4.0,columbia,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Brown Hatana Max Outdry (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-women-brown-hatana-max-outdry-bl0659-271,Women,35.0,4.0,BL0659-271,,,,,5.0,4.0,columbia,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",,,,,,
Columbia Women Brown REDMOND V2 Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/redmond-v2-wp-bl0834-033,Women,0.0,0.0,BL0834-227,,,,,5.0,2.0,columbia,Pebble,Ti Grey,,,,,,,,
Columbia Women Grey REDMOND V2 Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/redmond-v2-wp-bl0834-033,Women,0.0,0.0,BL0834-033,,,,,5.0,2.0,columbia,Pebble,Ti Grey,,,,,,,,
Columbia Women Black TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bl0156-193,Women,0.0,0.0,BL0156-010,,,,,5.0,3.0,columbia,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Grey TRAILSTORM Water Resistant Shoes,"7,199","8,999",https://columbiasportswear.co.in/trailstorm-waterproof-bl0156-193,Women,0.0,0.0,BL0156-053,,,,,5.0,3.0,columbia,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women White TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bl0156-193,Women,1.0,5.0,BL0156-193,,,,,5.0,3.0,columbia,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Black TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bl0156-193,Women,0.0,0.0,BL0156-010,,,,,5.0,3.0,columbia,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Grey TRAILSTORM Water Resistant Shoes,"7,199","8,999",https://columbiasportswear.co.in/trailstorm-waterproof-bl0156-193,Women,0.0,0.0,BL0156-053,,,,,5.0,3.0,columbia,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women White TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bl0156-193,Women,1.0,5.0,BL0156-193,,,,,5.0,3.0,columbia,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,,,,,,
Columbia Women Black STRATA TRAIL MID WP,"6,999",,https://columbiasportswear.co.in/columbia-women-grey-strata-trail-mid-wp-yl8651-033,Women,0.0,0.0,YL8651-010,,,,,6.0,2.0,columbia,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Grey STRATA TRAIL MID WP,"6,999",,https://columbiasportswear.co.in/columbia-women-grey-strata-trail-mid-wp-yl8651-033,Women,0.0,0.0,YL8651-033,,,,,6.0,2.0,columbia,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Black STRATA TRAIL MID WP,"6,999",,https://columbiasportswear.co.in/columbia-women-grey-strata-trail-mid-wp-yl8651-033,Women,0.0,0.0,YL8651-010,,,,,6.0,2.0,columbia,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Grey STRATA TRAIL MID WP,"6,999",,https://columbiasportswear.co.in/columbia-women-grey-strata-trail-mid-wp-yl8651-033,Women,0.0,0.0,YL8651-033,,,,,6.0,2.0,columbia,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,,,,,,
Columbia Women Black HEAVENLY OMNI HEAT Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/heavenly-omni-heat-bl1661-010,Women,0.0,0.0,BL1661-010,,,,,5.0,1.0,columbia,Black,,,,,,,,,
Columbia Women NEWTON RIDGE PLUS OMNI HEAT,"10,999",,https://columbiasportswear.co.in/women/footwear-women/newton-ridge-plus-omni-heat-bl0933-472,Women,0.0,0.0,BL0933-472,,,,,5.0,0.0,columbia,,,,,,,,,,
Columbia Women Brown REDMOND V2 Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/redmond-v2-wp-bl0834-033,Women,0.0,0.0,BL0834-227,,,,,5.0,2.0,columbia,Pebble,Ti Grey,,,,,,,,
Columbia Women Grey REDMOND V2 Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/redmond-v2-wp-bl0834-033,Women,0.0,0.0,BL0834-033,,,,,5.0,2.0,columbia,Pebble,Ti Grey,,,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/columbia-women-grey-crestwood-mid-waterproof-bl5371-053,Women,0.0,0.0,BL5371-055,,,,,5.0,2.0,columbia,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/columbia-women-grey-crestwood-mid-waterproof-bl5371-053,Women,0.0,0.0,BL5371-053,,,,,5.0,2.0,columbia,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Black Crestwood Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/columbia-women-brown-crestwood-waterproof-bl5372-275,Women,0.0,0.0,BL5372-006,,,,,5.0,2.0,columbia,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Brown Crestwood Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/columbia-women-brown-crestwood-waterproof-bl5372-275,Women,0.0,0.0,BL5372-275,,,,,5.0,2.0,columbia,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,,,,,,
Columbia Women Blue NEWTON RIDGE PLUS AMPED DESERT NIGHT Water Resistant Shoes,"13,999",,https://columbiasportswear.co.in/women/footwear-women/columbia-women-blue-newton-ridge-plus-wp-amped-desert-night-bl8916-466,Women,0.0,0.0,BL8916-466,,,,,5.0,0.0,columbia,,,,,,,,,,
Columbia Women Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,Women,22.0,5.0,BL7573-089,,,,,5.0,3.0,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Black Peakfreak II Mid Outdry (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,Women,22.0,5.0,BL7573-010,,,,,5.0,3.0,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Green Peakfreak II Mid Outdry (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,Women,22.0,5.0,BL7573-302,,,,,5.0,3.0,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,Women,22.0,5.0,BL7573-089,,,,,5.0,3.0,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Black Peakfreak II Mid Outdry (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,Women,22.0,5.0,BL7573-010,,,,,5.0,3.0,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Green Peakfreak II Mid Outdry (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,Women,22.0,5.0,BL7573-302,,,,,5.0,3.0,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/columbia-women-grey-crestwood-mid-waterproof-bl5371-053,Women,0.0,0.0,BL5371-055,,,,,5.0,2.0,columbia,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Grey Crestwood Mid Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/columbia-women-grey-crestwood-mid-waterproof-bl5371-053,Women,0.0,0.0,BL5371-053,,,,,5.0,2.0,columbia,"Graphite, Bright Plum","Graphite, Daredevil",,,,,,,,
Columbia Women Grey Escape Thrive Endure (Complete Waterproof),"12,999",,https://columbiasportswear.co.in/women/footwear-women/columbia-women-grey-escape-thrive-endure-bl4980-099,Women,0.0,0.0,BL4980-099,,,,,5.0,0.0,columbia,,,,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-women-black-red-hills-omni-heat-yl5934-010,Women,0.0,0.0,YL5934-005,,,,,5.0,2.0,columbia,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-women-black-red-hills-omni-heat-yl5934-010,Women,0.0,0.0,YL5934-010,,,,,5.0,2.0,columbia,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Grey Facet 75 Mid Outdry (Complete Waterproof),"15,999",,https://columbiasportswear.co.in/columbia-women-purple-facet-75-mid-outdry-bl7615-553,Women,15.0,5.0,BL7615-088,,,,,5.0,2.0,columbia,"Steam, Frosted Purple","Shale Mauve, Graphite",,,,,,,,
Columbia Women Purple Facet 75 Mid Outdry (Complete Waterproof),"15,999",,https://columbiasportswear.co.in/columbia-women-purple-facet-75-mid-outdry-bl7615-553,Women,15.0,5.0,BL7615-553,,,,,5.0,2.0,columbia,"Steam, Frosted Purple","Shale Mauve, Graphite",,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-women-black-red-hills-omni-heat-yl5934-010,Women,0.0,0.0,YL5934-005,,,,,5.0,2.0,columbia,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Black RED HILLS OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-women-black-red-hills-omni-heat-yl5934-010,Women,0.0,0.0,YL5934-010,,,,,5.0,2.0,columbia,"Kettle, Peach Blossom","Black, Sahara",,,,,,,,
Columbia Women Black TRAILSTORM MID Water Resistant Shoes,"8,999","9,999",https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,Women,38.0,4.0,BL0155-012,,,,,8.0,3.0,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Grey TRAILSTORM MID Water Resistant Shoes,"6,999","9,999",https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,Women,38.0,4.0,BL0155-053,,,,,5.0,3.0,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Red TRAILSTORM MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,Women,38.0,4.0,BL0155-616,,,,,5.0,3.0,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,,,,,,
Columbia Women Brown SLOPESIDE PEAK LUXE Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/slopeside-peak-luxe-bl5106-279,Women,0.0,0.0,BL5106-279,,,,,5.0,1.0,columbia,"Dark Stone, Sea Salt",,,,,,,,,
Columbia Men Black TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bm5578-231,Men,32.0,5.0,BM5578-005,,,,,5.0,2.0,columbia,"Kettle, Black","Cordovan, Black",,,,,,,,
Columbia Men Brown TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bm5578-231,Men,31.0,5.0,BM5578-231,,,,,6.0,2.0,columbia,"Kettle, Black","Cordovan, Black",,,,,,,,
Columbia Men Black TRAILSTORM BEYOND,"6,299","6,999",https://columbiasportswear.co.in/men/footwear-men/trailstorm-beyond-bm0354-010,Men,0.0,0.0,BM0354-010,,,,,5.0,0.0,columbia,,,,,,,,,,
Columbia Men Black COLUMBIA VENT AERO,"8,099","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bm0159-468,Men,30.0,4.0,BM0159-010,,,,,5.0,2.0,columbia,"Black, Graphite","Collegiate Navy, Red Quartz",,,,,,,,
Columbia Men Blue COLUMBIA VENT AERO,"7,199","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bm0159-468,Men,36.0,4.0,BM0159-468,,,,,5.0,2.0,columbia,"Black, Graphite","Collegiate Navy, Red Quartz",,,,,,,,
Columbia Men Black COLUMBIA VENT AERO,"8,099","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bm0159-468,Men,30.0,4.0,BM0159-010,,,,,5.0,2.0,columbia,"Black, Graphite","Collegiate Navy, Red Quartz",,,,,,,,
Columbia Men Blue COLUMBIA VENT AERO,"7,199","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bm0159-468,Men,36.0,4.0,BM0159-468,,,,,5.0,2.0,columbia,"Black, Graphite","Collegiate Navy, Red Quartz",,,,,,,,
Columbia Men Orange MONTRAIL TRINITY AG,"10,399","12,999",https://columbiasportswear.co.in/men/footwear-men/montrail-trinity-ag-bm8310-813,Men,17.0,5.0,BM8310-813,,,,,5.0,0.0,columbia,,,,,,,,,,
Columbia Men Black CRESTWOOD Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,Men,59.0,4.0,BM5372-006,,,,,5.0,4.0,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",,,,,,
Columbia Men Brown CRESTWOOD Water Resistant Shoes,"8,099","8,999",https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,Men,91.0,4.0,BM5372-241,,,,,5.0,4.0,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",,,,,,
Columbia Men Grey Crestwood Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,Men,30.0,4.0,BM5372-053,,,,,7.0,4.0,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",,,,,,
Columbia Men Brown Crestwood Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,Men,47.0,4.0,BM5372-255,,,,,7.0,4.0,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",,,,,,
Columbia Men Black WOODBURN II CHUKKA OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/men/footwear-men/columbia-men-black-woodburn-ii-chukka-wp-omni-heat-bm3926-010,Men,0.0,0.0,BM3926-010,,,,,6.0,0.0,columbia,,,,,,,,,,
Columbia Men Black EXPEDITIONIST BOOT Water Resistant Shoes,"15,999",,https://columbiasportswear.co.in/expeditionist-boot-bm8525-010,Men,30.0,4.0,BM8525-010,,,,,5.0,1.0,columbia,"Black, Graphite",,,,,,,,,
Columbia Men BROWN Plateau Venture,"7,999",,https://columbiasportswear.co.in/columbia-men-brown-plateau-venture-bm7536-213,Men,0.0,0.0,BM7536-255,,,,,7.0,2.0,columbia,"Mud, Abyss","Peatmoss, Black",,,,,,,,
Columbia Men Brown Plateau Venture,"7,999",,https://columbiasportswear.co.in/columbia-men-brown-plateau-venture-bm7536-213,Men,0.0,0.0,BM7536-213,,,,,7.0,2.0,columbia,"Mud, Abyss","Peatmoss, Black",,,,,,,,
Columbia Men Black CRESTWOOD MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,Men,60.0,4.0,BM5371-014,,,,,0.0,5.0,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black",,,,,
Columbia Men Grey CRESTWOOD MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,Men,60.0,4.0,BM5371-020,,,,,5.0,5.0,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black",,,,,
Columbia Men Brown CRESTWOOD MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,Men,58.0,4.0,BM5371-231,,,,,5.0,5.0,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black",,,,,
